qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,gripper_qpos,action_0,action_1,action_2,action_3,action_4,action_5,action_gripper
1.2786606047025455,-0.14051596912168735,-1.8825772561423808,0.40012850219171825,4.715457474592679,0.1788655553978556,0.9936363636363637,1.2786606047025455,-0.14051596912168735,-1.8825772561423808,0.40012850219171825,4.715457474592679,0.1788655553978556,0.9936363636363637
1.2776573919199126,-0.1412529323743395,-1.8845646401058522,0.40435117712663426,4.712501898414909,0.18193383322400633,0.006363636363636364,1.2776573919199126,-0.1412529323743395,-1.8845646401058522,0.40435117712663426,4.712501898414909,0.18193383322400633,0.006363636363636364
1.275483986154299,-0.14213695205343452,-1.8871525668951368,0.40913557931447514,4.710449666478894,0.1866959314377179,0.9936363636363637,1.275483986154299,-0.14213695205343452,-1.8871525668951368,0.40913557931447514,4.710449666478894,0.1866959314377179,0.9936363636363637
1.2717567590506786,-0.143107174928064,-1.890770338077955,0.41539064563528516,4.709008896329161,0.1943071626093803,0.006363636363636364,1.2717567590506786,-0.143107174928064,-1.890770338077955,0.41539064563528516,4.709008896329161,0.1943071626093803,0.006363636363636364
1.2670316454866055,-0.14409224492577066,-1.8950032994725812,0.4225131368126476,4.708018733035869,0.203761617505757,0.9936363636363637,1.2670316454866055,-0.14409224492577066,-1.8950032994725812,0.4225131368126476,4.708018733035869,0.203761617505757,0.9936363636363637
1.2606381946576521,-0.1452901014945747,-1.8998907327050947,0.4303688961066497,4.707690631589572,0.21580153576740982,0.006363636363636364,1.2606381946576521,-0.1452901014945747,-1.8998907327050947,0.4303688961066497,4.707690631589572,0.21580153576740982,0.006363636363636364
1.2535837472461415,-0.14654466674984057,-1.9046930779407802,0.43780127936635643,4.707956415066362,0.22854389605608472,0.9936363636363637,1.2535837472461415,-0.14654466674984057,-1.9046930779407802,0.43780127936635643,4.707956415066362,0.22854389605608472,0.9936363636363637
1.2462954742909216,-0.1477703367072791,-1.9091719822620752,0.4445609481347092,4.708483188329979,0.24133103074058657,0.006363636363636364,1.2462954742909216,-0.1477703367072791,-1.9091719822620752,0.4445609481347092,4.708483188329979,0.24133103074058657,0.006363636363636364
1.238073763373629,-0.14909181388493326,-1.9138823152820985,0.45155494178947525,4.709191056547723,0.25549665089482704,0.9936363636363637,1.238073763373629,-0.14909181388493326,-1.9138823152820985,0.45155494178947525,4.709191056547723,0.25549665089482704,0.9936363636363637
1.2305841554399992,-0.1501955776434734,-1.9182491005215017,0.4581112782086005,4.709554844352628,0.26840580829152494,0.006363636363636364,1.2305841554399992,-0.1501955776434734,-1.9182491005215017,0.4581112782086005,4.709554844352628,0.26840580829152494,0.006363636363636364
1.2229350241570733,-0.1512384382368348,-1.9228502439368316,0.4651068697600207,4.7096453918296906,0.2816328139643238,0.9936363636363637,1.2229350241570733,-0.1512384382368348,-1.9228502439368316,0.4651068697600207,4.7096453918296906,0.2816328139643238,0.9936363636363637
1.215373377715957,-0.15223485995868793,-1.9276432681087017,0.4724095903641542,4.709724754030175,0.29461875362420004,0.006363636363636364,1.215373377715957,-0.15223485995868793,-1.9276432681087017,0.4724095903641542,4.709724754030175,0.29461875362420004,0.006363636363636364
1.2075472793785957,-0.1532602435573957,-1.9328051400915476,0.4802676799241101,4.709889337385541,0.3079436471118161,0.9872727272727273,1.2075472793785957,-0.1532602435573957,-1.9328051400915476,0.4802676799241101,4.709889337385541,0.3079436471118161,0.9872727272727273
1.1998427543449963,-0.15439796261983438,-1.9378604856307906,0.4879242680580879,4.710526365518288,0.3207820809368156,0.006363636363636364,1.1998427543449963,-0.15439796261983438,-1.9378604856307906,0.4879242680580879,4.710526365518288,0.3207820809368156,0.006363636363636364
1.1922841705391334,-0.15562180165402348,-1.9427702894164605,0.4953292540480805,4.711537301468082,0.3331582565756046,0.9936363636363637,1.1922841705391334,-0.15562180165402348,-1.9427702894164605,0.4953292540480805,4.711537301468082,0.3331582565756046,0.9936363636363637
1.1839032025886542,-0.15706976233869954,-1.9482851634017966,0.5036356534880376,4.7130840654292,0.3465894101907148,0.006363636363636364,1.1839032025886542,-0.15706976233869954,-1.9482851634017966,0.5036356534880376,4.7130840654292,0.3465894101907148,0.006363636363636364
1.175715180659151,-0.15855620570112727,-1.9537611552352177,0.5118939495808053,4.714871579152861,0.35947884355058934,0.9936363636363637,1.175715180659151,-0.15855620570112727,-1.9537611552352177,0.5118939495808053,4.714871579152861,0.35947884355058934,0.9936363636363637
1.1675833514286487,-0.16025543563465233,-1.9594760326184184,0.520710477527567,4.716534989569725,0.3718657051232523,0.006363636363636364,1.1675833514286487,-0.16025543563465233,-1.9594760326184184,0.520710477527567,4.716534989569725,0.3718657051232523,0.006363636363636364
1.1595220959670334,-0.1621482108003989,-1.9653887828706127,0.5300181589583667,4.718058850345468,0.3837880448227781,0.9872727272727273,1.1595220959670334,-0.1621482108003989,-1.9653887828706127,0.5300181589583667,4.718058850345468,0.3837880448227781,0.9872727272727273
1.1514832110585744,-0.16442166819921547,-1.9716113919156373,0.5401474921644831,4.719790437686238,0.3951585442549259,0.012727272727272728,1.1514832110585744,-0.16442166819921547,-1.9716113919156373,0.5401474921644831,4.719790437686238,0.3951585442549259,0.012727272727272728
1.1434507177367321,-0.16702610658725847,-1.9780796775712215,0.5509787680549171,4.7217206968443275,0.40614990941638734,0.9872727272727273,1.1434507177367321,-0.16702610658725847,-1.9780796775712215,0.5509787680549171,4.7217206968443275,0.40614990941638734,0.9872727272727273
1.1357290153141018,-0.17003018558638147,-1.984477389457919,0.5624620856487433,4.723551353777648,0.41689762862762014,0.006363636363636364,1.1357290153141018,-0.17003018558638147,-1.984477389457919,0.5624620856487433,4.723551353777648,0.41689762862762014,0.006363636363636364
1.1273569689532743,-0.17374749241494133,-1.9915317037113753,0.5758467338133181,4.725469895026941,0.42879733145788035,0.9936363636363637,1.1273569689532743,-0.17374749241494133,-1.9915317037113753,0.5758467338133181,4.725469895026941,0.42879733145788035,0.9936363636363637
1.1193718798988352,-0.17791440741453382,-1.9981485937557864,0.58921740038217,4.727199351838839,0.44026134113380355,0.006363636363636364,1.1193718798988352,-0.17791440741453382,-1.9981485937557864,0.58921740038217,4.727199351838839,0.44026134113380355,0.006363636363636364
